((1, 5, 2000, 1500), 1415, 142.1456430039072, ['BOSTON', 'NEW YORK', 'INDIANAPOLIS', 'OKLAHOMA CITY', 'SALT LAKE CITY', 'SEATTLE', 'SAN FRANCISCO', 'LAS VEGAS', 'LOS ANGELES', 'SAN DIEGO', 'PHOENIX', 'ALBUQUERQUE', 'HOUSTON', 'MIAMI', 'ATLANTA', 'BOSTON'])
((5, 5, 1500, 500), 606, 142.14564300390722, ['BOSTON', 'ATLANTA', 'MIAMI', 'HOUSTON', 'ALBUQUERQUE', 'PHOENIX', 'SAN DIEGO', 'LOS ANGELES', 'LAS VEGAS', 'SAN FRANCISCO', 'SEATTLE', 'SALT LAKE CITY', 'OKLAHOMA CITY', 'INDIANAPOLIS', 'NEW YORK', 'BOSTON'])
((10, 1, 1000, 500), 361, 142.37133007120946, ['BOSTON', 'MIAMI', 'HOUSTON', 'ALBUQUERQUE', 'PHOENIX', 'LAS VEGAS', 'LOS ANGELES', 'SAN DIEGO', 'SAN FRANCISCO', 'SEATTLE', 'SALT LAKE CITY', 'OKLAHOMA CITY', 'ATLANTA', 'INDIANAPOLIS', 'NEW YORK', 'BOSTON'])
((5, 10, 1000, 1500), 663, 142.4035352191962, ['BOSTON', 'MIAMI', 'ATLANTA', 'HOUSTON', 'SALT LAKE CITY', 'SEATTLE', 'SAN FRANCISCO', 'LAS VEGAS', 'LOS ANGELES', 'SAN DIEGO', 'PHOENIX', 'ALBUQUERQUE', 'OKLAHOMA CITY', 'INDIANAPOLIS', 'NEW YORK', 'BOSTON'])
((10, 10, 2000, 2000), 479, 142.40848557721142, ['BOSTON', 'INDIANAPOLIS', 'OKLAHOMA CITY', 'ALBUQUERQUE', 'SALT LAKE CITY', 'SEATTLE', 'SAN FRANCISCO', 'LAS VEGAS', 'LOS ANGELES', 'SAN DIEGO', 'PHOENIX', 'HOUSTON', 'MIAMI', 'ATLANTA', 'NEW YORK', 'BOSTON'])
((1, 10, 1000, 1000), 76, 142.50766730093693, ['BOSTON', 'MIAMI', 'ATLANTA', 'HOUSTON', 'OKLAHOMA CITY', 'SALT LAKE CITY', 'SEATTLE', 'SAN FRANCISCO', 'SAN DIEGO', 'LOS ANGELES', 'LAS VEGAS', 'PHOENIX', 'ALBUQUERQUE', 'INDIANAPOLIS', 'NEW YORK', 'BOSTON'])
((1, 10, 1500, 1500), 33, 142.5140497572194, ['BOSTON', 'NEW YORK', 'INDIANAPOLIS', 'OKLAHOMA CITY', 'SALT LAKE CITY', 'SEATTLE', 'SAN FRANCISCO', 'LAS VEGAS', 'SAN DIEGO', 'LOS ANGELES', 'PHOENIX', 'ALBUQUERQUE', 'HOUSTON', 'ATLANTA', 'MIAMI', 'BOSTON'])
((5, 5, 1500, 1500), 304, 142.6257584561505, ['BOSTON', 'INDIANAPOLIS', 'SALT LAKE CITY', 'SEATTLE', 'SAN FRANCISCO', 'LAS VEGAS', 'LOS ANGELES', 'SAN DIEGO', 'PHOENIX', 'ALBUQUERQUE', 'OKLAHOMA CITY', 'HOUSTON', 'ATLANTA', 'MIAMI', 'NEW YORK', 'BOSTON'])
((10, 10, 100, 1000), 15, 142.63825662781363, ['BOSTON', 'MIAMI', 'HOUSTON', 'OKLAHOMA CITY', 'ALBUQUERQUE', 'PHOENIX', 'LAS VEGAS', 'LOS ANGELES', 'SAN DIEGO', 'SAN FRANCISCO', 'SEATTLE', 'SALT LAKE CITY', 'INDIANAPOLIS', 'ATLANTA', 'NEW YORK', 'BOSTON'])
((10, 1, 2000, 2000), 404, 142.64472504385108, ['BOSTON', 'NEW YORK', 'INDIANAPOLIS', 'OKLAHOMA CITY', 'ALBUQUERQUE', 'SALT LAKE CITY', 'SEATTLE', 'SAN FRANCISCO', 'LAS VEGAS', 'LOS ANGELES', 'SAN DIEGO', 'PHOENIX', 'HOUSTON', 'MIAMI', 'ATLANTA', 'BOSTON'])
((1, 1, 1500, 500), 519, 142.68136950687463, ['BOSTON', 'NEW YORK', 'INDIANAPOLIS', 'SALT LAKE CITY', 'SEATTLE', 'SAN FRANCISCO', 'LOS ANGELES', 'LAS VEGAS', 'SAN DIEGO', 'PHOENIX', 'ALBUQUERQUE', 'OKLAHOMA CITY', 'HOUSTON', 'ATLANTA', 'MIAMI', 'BOSTON'])
((10, 1, 2000, 1000), 450, 142.73765987153686, ['BOSTON', 'NEW YORK', 'MIAMI', 'HOUSTON', 'ALBUQUERQUE', 'PHOENIX', 'LAS VEGAS', 'LOS ANGELES', 'SAN DIEGO', 'SAN FRANCISCO', 'SEATTLE', 'SALT LAKE CITY', 'OKLAHOMA CITY', 'ATLANTA', 'INDIANAPOLIS', 'BOSTON'])
((5, 5, 2000, 500), 242, 142.74020714788782, ['BOSTON', 'MIAMI', 'ATLANTA', 'HOUSTON', 'PHOENIX', 'SAN DIEGO', 'LOS ANGELES', 'SAN FRANCISCO', 'SEATTLE', 'LAS VEGAS', 'SALT LAKE CITY', 'ALBUQUERQUE', 'OKLAHOMA CITY', 'INDIANAPOLIS', 'NEW YORK', 'BOSTON'])
((10, 1, 500, 500), 38, 142.83042642826297, ['BOSTON', 'INDIANAPOLIS', 'OKLAHOMA CITY', 'ALBUQUERQUE', 'SALT LAKE CITY', 'SEATTLE', 'SAN FRANCISCO', 'LOS ANGELES', 'LAS VEGAS', 'SAN DIEGO', 'PHOENIX', 'HOUSTON', 'MIAMI', 'ATLANTA', 'NEW YORK', 'BOSTON'])
((5, 1, 2000, 1500), 1345, 142.84196227065846, ['BOSTON', 'INDIANAPOLIS', 'ALBUQUERQUE', 'SALT LAKE CITY', 'SEATTLE', 'SAN FRANCISCO', 'LOS ANGELES', 'SAN DIEGO', 'LAS VEGAS', 'PHOENIX', 'OKLAHOMA CITY', 'HOUSTON', 'ATLANTA', 'MIAMI', 'NEW YORK', 'BOSTON'])
((5, 5, 1500, 2000), 706, 142.95259195622313, ['BOSTON', 'INDIANAPOLIS', 'OKLAHOMA CITY', 'SALT LAKE CITY', 'SEATTLE', 'SAN FRANCISCO', 'LOS ANGELES', 'SAN DIEGO', 'PHOENIX', 'LAS VEGAS', 'ALBUQUERQUE', 'HOUSTON', 'ATLANTA', 'MIAMI', 'NEW YORK', 'BOSTON'])
((5, 5, 500, 1000), 375, 142.95259195622316, ['BOSTON', 'NEW YORK', 'MIAMI', 'ATLANTA', 'HOUSTON', 'ALBUQUERQUE', 'LAS VEGAS', 'PHOENIX', 'SAN DIEGO', 'LOS ANGELES', 'SAN FRANCISCO', 'SEATTLE', 'SALT LAKE CITY', 'OKLAHOMA CITY', 'INDIANAPOLIS', 'BOSTON'])
((1, 1, 1500, 2000), 899, 143.01472932041938, ['BOSTON', 'MIAMI', 'HOUSTON', 'ALBUQUERQUE', 'SALT LAKE CITY', 'SEATTLE', 'SAN FRANCISCO', 'SAN DIEGO', 'LOS ANGELES', 'LAS VEGAS', 'PHOENIX', 'OKLAHOMA CITY', 'INDIANAPOLIS', 'ATLANTA', 'NEW YORK', 'BOSTON'])
((1, 1, 100, 1000), 89, 143.02567709010634, ['BOSTON', 'MIAMI', 'ATLANTA', 'OKLAHOMA CITY', 'SALT LAKE CITY', 'SEATTLE', 'SAN FRANCISCO', 'SAN DIEGO', 'LOS ANGELES', 'LAS VEGAS', 'PHOENIX', 'ALBUQUERQUE', 'HOUSTON', 'INDIANAPOLIS', 'NEW YORK', 'BOSTON'])
((1, 10, 1000, 500), 14, 143.12760593059522, ['BOSTON', 'NEW YORK', 'MIAMI', 'ATLANTA', 'OKLAHOMA CITY', 'ALBUQUERQUE', 'PHOENIX', 'LAS VEGAS', 'SAN DIEGO', 'LOS ANGELES', 'SAN FRANCISCO', 'SEATTLE', 'SALT LAKE CITY', 'HOUSTON', 'INDIANAPOLIS', 'BOSTON'])
((1, 1, 500, 2000), 94, 143.12760593059522, ['BOSTON', 'NEW YORK', 'MIAMI', 'ATLANTA', 'OKLAHOMA CITY', 'ALBUQUERQUE', 'PHOENIX', 'LAS VEGAS', 'SAN DIEGO', 'LOS ANGELES', 'SAN FRANCISCO', 'SEATTLE', 'SALT LAKE CITY', 'HOUSTON', 'INDIANAPOLIS', 'BOSTON'])
((1, 10, 2000, 1500), 1673, 143.17520422298043, ['BOSTON', 'NEW YORK', 'ATLANTA', 'MIAMI', 'HOUSTON', 'OKLAHOMA CITY', 'PHOENIX', 'LAS VEGAS', 'SAN DIEGO', 'LOS ANGELES', 'SAN FRANCISCO', 'SEATTLE', 'SALT LAKE CITY', 'ALBUQUERQUE', 'INDIANAPOLIS', 'BOSTON'])
((10, 10, 500, 2000), 446, 143.3393464384852, ['BOSTON', 'ATLANTA', 'MIAMI', 'HOUSTON', 'SALT LAKE CITY', 'SEATTLE', 'SAN FRANCISCO', 'LAS VEGAS', 'LOS ANGELES', 'SAN DIEGO', 'PHOENIX', 'ALBUQUERQUE', 'OKLAHOMA CITY', 'INDIANAPOLIS', 'NEW YORK', 'BOSTON'])
((5, 10, 1500, 1500), 571, 143.38885185838643, ['BOSTON', 'NEW YORK', 'MIAMI', 'HOUSTON', 'ALBUQUERQUE', 'PHOENIX', 'SAN DIEGO', 'LOS ANGELES', 'LAS VEGAS', 'SAN FRANCISCO', 'SEATTLE', 'SALT LAKE CITY', 'OKLAHOMA CITY', 'INDIANAPOLIS', 'ATLANTA', 'BOSTON'])
((5, 5, 2000, 2000), 1041, 143.43977890053716, ['BOSTON', 'NEW YORK', 'ATLANTA', 'MIAMI', 'HOUSTON', 'PHOENIX', 'SAN DIEGO', 'LOS ANGELES', 'SAN FRANCISCO', 'SEATTLE', 'LAS VEGAS', 'SALT LAKE CITY', 'ALBUQUERQUE', 'OKLAHOMA CITY', 'INDIANAPOLIS', 'BOSTON'])
((10, 10, 1500, 100), 789, 143.48214163978932, ['BOSTON', 'NEW YORK', 'MIAMI', 'ATLANTA', 'HOUSTON', 'PHOENIX', 'SALT LAKE CITY', 'SEATTLE', 'SAN FRANCISCO', 'LOS ANGELES', 'SAN DIEGO', 'LAS VEGAS', 'ALBUQUERQUE', 'OKLAHOMA CITY', 'INDIANAPOLIS', 'BOSTON'])
((1, 10, 1500, 1000), 1105, 143.51220147128427, ['BOSTON', 'MIAMI', 'ATLANTA', 'HOUSTON', 'SAN DIEGO', 'LOS ANGELES', 'SAN FRANCISCO', 'SEATTLE', 'SALT LAKE CITY', 'LAS VEGAS', 'PHOENIX', 'ALBUQUERQUE', 'OKLAHOMA CITY', 'INDIANAPOLIS', 'NEW YORK', 'BOSTON'])
((10, 5, 2000, 1000), 1704, 143.52207337518473, ['BOSTON', 'NEW YORK', 'INDIANAPOLIS', 'OKLAHOMA CITY', 'SALT LAKE CITY', 'SEATTLE', 'SAN FRANCISCO', 'LOS ANGELES', 'SAN DIEGO', 'PHOENIX', 'LAS VEGAS', 'ALBUQUERQUE', 'HOUSTON', 'MIAMI', 'ATLANTA', 'BOSTON'])
((10, 5, 500, 500), 151, 143.8175759147451, ['BOSTON', 'NEW YORK', 'ATLANTA', 'INDIANAPOLIS', 'OKLAHOMA CITY', 'SALT LAKE CITY', 'LAS VEGAS', 'SEATTLE', 'SAN FRANCISCO', 'LOS ANGELES', 'SAN DIEGO', 'PHOENIX', 'ALBUQUERQUE', 'HOUSTON', 'MIAMI', 'BOSTON'])
